solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.03632717200000002,0.004271842999999942,0.032055329000000084,2.0
1,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.031057645999999824,0.006783790999999928,0.0242738549999999,5.0
10,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.030615714000000068,0.006842704000000088,0.023773009999999983,3.1111111111111125
11,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.026380381999999925,0.002569931999999886,0.023810450000000042,6.0
12,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.027882664999999918,0.003914500000000043,0.023968164999999875,3.0
13,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.029112873999999955,0.0052660989999999686,0.023846774999999987,5.0
14,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.030559191999999905,0.006585725999999958,0.023973465999999943,3.0000000000000004
15,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02824561500000012,0.0044659840000000894,0.023779631000000023,5.0
16,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.028979702,0.0052331029999999066,0.02374659900000009,4.0
17,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02625336300000014,0.002415661999999985,0.023837701000000155,4.0
18,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02997133800000018,0.006240445999999844,0.023730892000000336,7.999999999999999
19,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.029482667999999986,0.005407007000000075,0.024075660999999915,2.0
2,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02745829499999997,0.00413772999999984,0.02332056500000013,2.0
20,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.029491467000000163,0.005911367000000167,0.023580099999999996,4.0
21,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02739777700000001,0.003626515000000108,0.023771261999999904,4.0
22,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.027635268000000046,0.003589356999999849,0.0240459110000002,2.0
23,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02777090100000001,0.003947969999999801,0.023822931000000214,4.0
24,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.028213752999999956,0.004452758999999862,0.02376099400000009,5.0
25,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02794656600000001,0.007128162999999966,0.02081840300000004,3.0000000000000013
26,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.025595800999999918,0.0047340229999999215,0.020861778,4.0
27,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02983686799999985,0.006172736999999985,0.023664130999999863,6.0
28,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02841473299999997,0.004714147999999918,0.02370058500000005,2.0
29,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.030131085000000283,0.0063553039999999505,0.023775781000000332,3.8461538461538463
3,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.028157042999999993,0.0044186680000000145,0.023738374999999975,3.0
30,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.0243254180000001,0.003595978999999972,0.020729439000000127,5.0
31,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02976716099999965,0.005212545000000013,0.02455461599999964,6.0
32,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.031466293999999895,0.007544521999999888,0.023921772000000008,4.999999999999999
33,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.030056558000000063,0.006203575000000239,0.023852982999999828,5.0
34,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.027196752000000046,0.003299123999999765,0.02389762800000028,3.0
35,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.03012091999999988,0.006374025999999589,0.023746894000000296,3.0
36,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02706289599999989,0.0031817169999999173,0.02388117899999997,2.0
37,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02872942399999978,0.004940788999999946,0.02378863499999984,4.0
38,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.028160674,0.0041311180000001,0.024029555999999896,3.0
39,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.028797847999999963,0.006208765999999866,0.02258908200000009,3.111111111111111
4,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.029079839,0.0053419910000001005,0.02373784799999989,3.0
40,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02924658800000035,0.0063728069999999795,0.022873781000000367,3.9999999999999987
41,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02866285499999988,0.0048134909999997255,0.02384936400000015,3.0
42,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02719836899999972,0.0033516749999997764,0.023846693999999943,2.0
43,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02871897599999995,0.00425337999999975,0.0244655960000002,3.0
44,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.027691663000000144,0.0043864580000003706,0.023305204999999773,5.0
45,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02922700500000008,0.0054841770000000345,0.02374282800000005,2.0
46,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02844560899999982,0.00454150199999992,0.023904106999999897,3.0
47,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.027280452999999927,0.0046257810000001065,0.02265467199999982,3.0
48,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02765668000000021,0.004473185000000157,0.023183495000000054,4.0
49,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.029572512000000106,0.0061481410000001615,0.023424370999999944,4.0
5,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02868618100000009,0.004923710000000137,0.02376247099999995,6.4
6,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.029306282000000076,0.005553452000000014,0.023752830000000055,4.9999999999999964
7,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.030882648999999818,0.006049270999999967,0.02483337799999985,7.333333333333332
8,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.02778761600000013,0.0038383600000000406,0.023949256000000085,2.0
9,once,auto,cold,1,0.0,False,0.0,10,0.5,0.2,fixed,1000,45,481,0.030750338999999908,0.006934863999999985,0.02381547499999992,6.000000000000003
0,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,12101,619.0556196480001,590.847908665,28.20771098299997,505.9999999999994
0,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,6576,332.35098204900015,278.23629023399957,54.11469181500047,505.99999999999886
0,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,7354,607.67977273,546.5408401480005,61.13893258199949,506.0000000000062
0,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6562,1111.021824456,1020.4508873149983,90.57093714100165,505.99999999999636
1,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,11101,476.6624791900003,450.39534266400045,26.267136525999828,513.9999999999992
