solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
0,once,auto,cold,1,0.0,False,0,100,0.5,0.2,fixed,1000,4950,646801,384.59375,374.5,10.09375,502.99999999999807,0,0,0
0,iterative,auto,warm,1,0.0,False,0,100,0.5,0.2,fixed,1000,4950,11485,215.265625,198.609375,16.65625,503.00000000000097,0,0,0
0,iterative,auto,warm,1,0.0,True,0,100,0.5,0.2,fixed,1000,4950,6387,114.71875,87.484375,27.234375,502.9999999999984,19807,13714,6093
1,once,auto,cold,1,0.0,False,0,110,0.5,0.2,fixed,1000,5995,863281,753.03125,731.421875,21.609375,580.0000000000155,0,0,0
1,iterative,auto,warm,1,0.0,False,0,110,0.5,0.2,fixed,1000,5995,12955,313.25,288.21875,25.03125,579.9999999999989,0,0,0
1,iterative,auto,warm,1,0.0,True,0,110,0.5,0.2,fixed,1000,5995,6231,158.859375,120.6875,38.171875,579.9999999999981,23086,15870,7216
10,once,auto,cold,1,0.0,False,0,140,0.5,0.2,fixed,1000,9730,1790321,3567.40625,3531.96875,35.4375,979.9999999999898,0,0,0
10,iterative,auto,warm,1,0.0,False,0,140,0.5,0.2,fixed,1000,9730,21101,2144.5625,2071.03125,73.53125,980.0000000000036,0,0,0
10,iterative,auto,warm,1,0.0,True,0,140,0.5,0.2,fixed,1000,9730,10909,1178.515625,1027.59375,150.921875,980.0000000000008,48935,31192,17743
11,once,auto,cold,1,0.0,False,0,150,0.5,0.2,fixed,1000,11175,2205201,4458.71875,4413.578125,45.140625,1104.9999999999927,0,0,0
11,iterative,auto,warm,1,0.0,False,0,150,0.5,0.2,fixed,1000,11175,22101,3031.71875,2932.65625,99.0625,1105.0000000000052,0,0,0
11,iterative,auto,warm,1,0.0,True,0,150,0.5,0.2,fixed,1000,11175,11184,1735.59375,1525.65625,209.9375,1105.0000000000016,55068,34917,20151
12,once,auto,cold,1,0.0,False,0,100,0.5,0.2,fixed,1000,4950,646801,354.3125,341.578125,12.734375,523.999999999992,0,0,0
12,iterative,auto,warm,1,0.0,False,0,100,0.5,0.2,fixed,1000,4950,12101,239.625,224.28125,15.34375,523.9999999999994,0,0,0
12,iterative,auto,warm,1,0.0,True,0,100,0.5,0.2,fixed,1000,4950,6596,155.6875,125.421875,30.265625,523.9999999999985,23923,17505,6418
13,once,auto,cold,1,0.0,False,0,110,0.5,0.2,fixed,1000,5995,863281,336.703125,320.484375,16.21875,568.4661835748797,0,0,0
13,iterative,auto,warm,1,0.0,False,0,110,0.5,0.2,fixed,1000,5995,19200,549.296875,511.640625,37.65625,568.4661835748784,0,0,0
13,iterative,auto,warm,1,0.0,True,0,110,0.5,0.2,fixed,1000,5995,7011,445.125,266.09375,179.03125,568.4661835748798,529285,72398,456887
14,once,auto,cold,1,0.0,False,0,120,0.5,0.2,fixed,1000,7140,1123361,1027.734375,1005.65625,22.078125,708.0000000000093,0,0,0
14,iterative,auto,warm,1,0.0,False,0,120,0.5,0.2,fixed,1000,7140,16101,802.015625,767.625,34.390625,708.0000000000019,0,0,0
14,iterative,auto,warm,1,0.0,True,0,120,0.5,0.2,fixed,1000,7140,7640,469.015625,393.0,76.015625,708.0000000000032,35435,24461,10974
15,once,auto,cold,1,0.0,False,0,130,0.5,0.2,fixed,1000,8385,1431041,3068.140625,3026.3125,41.828125,861.9999999999951,0,0,0
15,iterative,auto,warm,1,0.0,False,0,130,0.5,0.2,fixed,1000,8385,19609,2083.546875,2007.578125,75.96875,861.9999999999969,0,0,0
15,iterative,auto,warm,1,0.0,True,0,130,0.5,0.2,fixed,1000,8385,9023,1616.234375,1429.40625,186.828125,862.0000000000066,48690,35078,13612
16,once,auto,cold,1,0.0,False,0,140,0.5,0.2,fixed,1000,9730,1790321,3856.109375,3802.46875,53.640625,984.0000000000133,0,0,0
16,iterative,auto,warm,1,0.0,False,0,140,0.5,0.2,fixed,1000,9730,19375,2819.265625,2707.828125,111.4375,984.0000000000008,0,0,0
16,iterative,auto,warm,1,0.0,True,0,140,0.5,0.2,fixed,1000,9730,10432,1569.03125,1344.0625,224.96875,983.9999999999987,46304,29217,17087
17,once,auto,cold,1,0.0,False,0,150,0.5,0.2,fixed,1000,11175,2205201,5246.140625,5194.8125,51.328125,1116.999999999992,0,0,0
17,iterative,auto,warm,1,0.0,False,0,150,0.5,0.2,fixed,1000,11175,21101,2423.390625,2324.984375,98.40625,1117.0000000000025,0,0,0
17,iterative,auto,warm,1,0.0,True,0,150,0.5,0.2,fixed,1000,11175,11967,1310.515625,1117.09375,193.421875,1116.9999999999973,50377,29134,21243
18,once,auto,cold,1,0.0,False,0,100,0.5,0.2,fixed,1000,4950,646801,500.015625,484.140625,15.875,524.0000000000106,0,0,0
18,iterative,auto,warm,1,0.0,False,0,100,0.5,0.2,fixed,1000,4950,12489,288.84375,271.609375,17.234375,523.9999999999983,0,0,0
18,iterative,auto,warm,1,0.0,True,0,100,0.5,0.2,fixed,1000,4950,6657,196.203125,161.53125,34.671875,524.0000000000006,26028,19444,6584
19,once,auto,cold,1,0.0,False,0,110,0.5,0.2,fixed,1000,5995,863281,698.203125,680.953125,17.25,614.0000000000032,0,0,0
19,iterative,auto,warm,1,0.0,False,0,110,0.5,0.2,fixed,1000,5995,13101,386.515625,364.921875,21.59375,614.0000000000002,0,0,0
19,iterative,auto,warm,1,0.0,True,0,110,0.5,0.2,fixed,1000,5995,7069,232.203125,187.578125,44.625,614.0000000000002,24523,16674,7849
2,once,auto,cold,1,0.0,False,0,120,0.5,0.2,fixed,1000,7140,1123361,257.34375,233.40625,23.9375,762.8956971908647,0,0,0
2,iterative,auto,warm,1,0.0,False,0,120,0.5,0.2,fixed,1000,7140,20199,1312.03125,1267.0625,44.96875,762.8956971908686,0,0,0
2,iterative,auto,warm,1,0.0,True,0,120,0.5,0.2,fixed,1000,7140,8140,1384.015625,973.984375,410.03125,762.8956971908698,200824,190961,9863
20,once,auto,cold,1,0.0,False,0,120,0.5,0.2,fixed,1000,7140,1123361,1071.375,1049.375,22.0,734.0000000000003,0,0,0
20,iterative,auto,warm,1,0.0,False,0,120,0.5,0.2,fixed,1000,7140,15101,718.4375,684.265625,34.171875,734.0000000000019,0,0,0
20,iterative,auto,warm,1,0.0,True,0,120,0.5,0.2,fixed,1000,7140,8497,414.46875,346.984375,67.484375,733.9999999999997,31621,21604,10017
