solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time
10,once,auto,cold,1,,False,0,0,20,0.5,0.2,fixed,1000,4560,4560,0,1,,190,4561,0.1882992459999997
10,iterative,auto,warm,1,,False,0,0,20,0.5,0.2,fixed,1000,100,100,0,1,,190,101,0.0019303859999979522
10,iterative,auto,warm,1,,False,0,1,20,0.5,0.2,fixed,1000,1000,528,0,1,,190,629,0.01123818299999968
10,iterative,auto,warm,1,,False,0,2,20,0.5,0.2,fixed,1000,1000,52,0,1,,190,681,0.00624413199999907
10,iterative,auto,warm,1,,False,0,3,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,715,0.001553853000000771
10,iterative,auto,warm,1,,False,0,4,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,749,0.0014015690000022119
10,iterative,auto,warm,1,,False,0,5,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,783,0.01894667400000216
10,iterative,auto,warm,1,,False,0,6,20,0.5,0.2,fixed,1000,1000,90,0,1,,190,873,0.007811397000001108
10,iterative,auto,warm,1,,False,0,7,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,891,0.005109342000000794
10,iterative,auto,warm,1,,False,0,8,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,925,0.002685981999999143
10,iterative,auto,warm,1,,False,0,9,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,943,0.001606158000001301
10,iterative,auto,warm,1,,False,0,10,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,977,0.002251756999999799
10,iterative,auto,warm,1,,False,0,11,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,995,0.0016996090000027664
10,iterative,auto,warm,1,,False,0,12,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1013,0.0016568249999977525
10,iterative,auto,warm,1,,False,0,13,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1031,0.0019333179999989625
10,iterative,auto,warm,1,,False,0,14,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1049,0.0019931690000021263
10,iterative,auto,warm,1,,False,0,15,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1067,0.0016154949999993562
10,iterative,auto,warm,1,,False,0,16,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1085,0.0017414840000000709
10,iterative,auto,warm,1,,False,0,17,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1103,0.001683877000001388
10,iterative,auto,warm,1,,False,0,18,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1121,0.001692235000000153
10,iterative,auto,warm,1,,False,0,19,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1139,0.00277059299999749
10,iterative,auto,warm,1,,False,0,20,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,1173,0.003074697000002402
10,iterative,auto,warm,1,,False,0,21,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1191,0.0018700569999978711
10,iterative,auto,warm,1,,False,0,22,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1209,0.0016743040000015696
10,iterative,auto,warm,1,,False,0,23,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1227,0.0018504310000011515
10,iterative,auto,warm,1,,False,0,24,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1245,0.0017388800000013305
10,iterative,auto,warm,1,,False,0,25,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1263,0.001725556000000239
10,iterative,auto,warm,1,,False,0,26,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1281,0.0020773150000010787
10,iterative,auto,warm,1,,False,0,27,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1299,0.00202257100000125
10,iterative,auto,warm,1,,False,0,28,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1317,0.0019139550000026873
10,iterative,auto,warm,1,,False,0,29,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1335,0.0018147349999999562
10,iterative,auto,warm,1,,False,0,30,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1353,0.0018282670000004941
10,iterative,auto,warm,1,,False,0,31,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1371,0.001954444999999083
10,iterative,auto,warm,1,,False,0,32,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1389,0.0019123970000016755
10,iterative,auto,warm,1,,False,0,33,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1407,0.001893439999999913
10,iterative,auto,warm,1,,False,0,34,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1425,0.0018614220000010562
10,iterative,auto,warm,1,,False,0,35,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1443,0.0018823379999979295
10,iterative,auto,warm,1,,False,0,36,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1461,0.001919606999997825
10,iterative,auto,warm,1,,False,0,37,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1479,0.0019228130000001897
10,iterative,auto,warm,1,,False,0,38,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1497,0.0019455410000013273
10,iterative,auto,warm,1,,False,0,39,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1515,0.00206521399999815
10,iterative,auto,warm,1,,False,0,40,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,1533,0.007676351000000636
10,iterative,auto,warm,1,,True,0,0,20,0.5,0.2,fixed,1000,100,100,0,1,,190,101,0.0020115700000005177
10,iterative,auto,warm,1,,True,0,1,20,0.5,0.2,fixed,1000,1000,565,51,1,,190,615,0.01928162100000108
10,iterative,auto,warm,1,,True,0,2,20,0.5,0.2,fixed,1000,1000,78,100,1,,190,593,0.014048225999999886
10,iterative,auto,warm,1,,True,0,3,20,0.5,0.2,fixed,1000,1000,60,44,1,,190,609,0.0019175070000017058
10,iterative,auto,warm,1,,True,0,4,20,0.5,0.2,fixed,1000,1000,34,16,1,,190,627,0.0018364649999966787
10,iterative,auto,warm,1,,True,0,5,20,0.5,0.2,fixed,1000,1000,34,21,1,,190,640,0.023897363999999754
10,iterative,auto,warm,1,,True,0,6,20,0.5,0.2,fixed,1000,1000,170,113,1,,190,697,0.0026823500000006106
10,iterative,auto,warm,1,,True,0,7,20,0.5,0.2,fixed,1000,1000,64,35,1,,190,726,0.004751961000000193
10,iterative,auto,warm,1,,True,0,8,20,0.5,0.2,fixed,1000,1000,194,138,1,,190,782,0.005521472000001637
10,iterative,auto,warm,1,,True,0,9,20,0.5,0.2,fixed,1000,1000,76,88,1,,190,770,0.0023452049999974633
10,iterative,auto,warm,1,,True,0,10,20,0.5,0.2,fixed,1000,1000,18,31,1,,190,757,0.0019458329999970658
10,iterative,auto,warm,1,,True,0,11,20,0.5,0.2,fixed,1000,1000,18,11,1,,190,764,0.0019587329999986025
10,iterative,auto,warm,1,,True,0,12,20,0.5,0.2,fixed,1000,1000,18,10,1,,190,772,0.001846918000001807
10,iterative,auto,warm,1,,True,0,13,20,0.5,0.2,fixed,1000,1000,18,11,1,,190,779,0.0020637639999989688
10,iterative,auto,warm,1,,True,0,14,20,0.5,0.2,fixed,1000,1000,18,12,1,,190,785,0.0018573570000022244
10,iterative,auto,warm,1,,True,0,15,20,0.5,0.2,fixed,1000,1000,18,8,1,,190,795,0.0019920929999983628
10,iterative,auto,warm,1,,True,0,16,20,0.5,0.2,fixed,1000,1000,18,7,1,,190,806,0.0019630839999997818
10,iterative,auto,warm,1,,True,0,17,20,0.5,0.2,fixed,1000,1000,18,12,1,,190,812,0.0027690329999998653
10,iterative,auto,warm,1,,True,0,18,20,0.5,0.2,fixed,1000,1000,18,11,1,,190,819,0.0023655060000002948
10,iterative,auto,warm,1,,True,0,19,20,0.5,0.2,fixed,1000,1000,18,13,1,,190,824,0.002032844999998673
10,iterative,auto,warm,1,,True,0,20,20,0.5,0.2,fixed,1000,1000,18,12,1,,190,830,0.004421035000000018
10,iterative,auto,warm,1,,True,0,21,20,0.5,0.2,fixed,1000,1000,48,57,1,,190,821,0.003550752000002433
10,iterative,auto,warm,1,,True,0,22,20,0.5,0.2,fixed,1000,1000,50,44,1,,190,827,0.0021624649999978374
10,iterative,auto,warm,1,,True,0,23,20,0.5,0.2,fixed,1000,1000,18,9,1,,190,836,0.0019567760000001044
10,iterative,auto,warm,1,,True,0,24,20,0.5,0.2,fixed,1000,1000,18,5,1,,190,849,0.0020991700000010383
